article_id;essay;emotion;tokens;1-gram;2-gram
67;really read immigrant article drowned make feel anxious upset whole ordeal happened terrible occurrence happen mediterranean sea thankfully survivor fact baby lost make much emotional read;sadness;['really', 'read', 'immigrant', 'article', 'drowned', 'make', 'feel', 'anxious', 'upset', 'whole', 'ordeal', 'happened', 'terrible', 'occurrence', 'happen', 'mediterranean', 'sea', 'thankfully', 'survivor', 'fact', 'baby', 'lost', 'make', 'much', 'emotional', 'read'];['really', 'read', 'immigrant', 'article', 'drowned', 'make', 'feel', 'anxious', 'upset', 'whole', 'ordeal', 'happened', 'terrible', 'occurrence', 'happen', 'mediterranean', 'sea', 'thankfully', 'survivor', 'fact', 'baby', 'lost', 'make', 'much', 'emotional', 'read'];['really read', 'read immigrant', 'immigrant article', 'article drowned', 'drowned make', 'make feel', 'feel anxious', 'anxious upset', 'upset whole', 'whole ordeal', 'ordeal happened', 'happened terrible', 'terrible occurrence', 'occurrence happen', 'happen mediterranean', 'mediterranean sea', 'sea thankfully', 'thankfully survivor', 'survivor fact', 'fact baby', 'baby lost', 'lost make', 'make much', 'much emotional', 'emotional read']
86;phone line suicide prevention line election also climbed williams committed thankfully prevention line help need thought need condition people committing permanent solution temporary problem;sadness;['phone', 'line', 'suicide', 'prevention', 'line', 'election', 'also', 'climbed', 'williams', 'committed', 'thankfully', 'prevention', 'line', 'help', 'need', 'thought', 'need', 'condition', 'people', 'committing', 'permanent', 'solution', 'temporary', 'problem'];['phone', 'line', 'suicide', 'prevention', 'line', 'election', 'also', 'climbed', 'williams', 'committed', 'thankfully', 'prevention', 'line', 'help', 'need', 'thought', 'need', 'condition', 'people', 'committing', 'permanent', 'solution', 'temporary', 'problem'];['phone line', 'line suicide', 'suicide prevention', 'prevention line', 'line election', 'election also', 'also climbed', 'climbed williams', 'williams committed', 'committed thankfully', 'thankfully prevention', 'prevention line', 'line help', 'help need', 'need thought', 'thought need', 'need condition', 'condition people', 'people committing', 'committing permanent', 'permanent solution', 'solution temporary', 'temporary problem']
206;matter heritage able serve country thai heritage shouldnt shouldnt issue debate duckworth family service provided country type racism allowed debate;neutral;['matter', 'heritage', 'able', 'serve', 'country', 'thai', 'heritage', 'shouldnt', 'shouldnt', 'issue', 'debate', 'duckworth', 'family', 'service', 'provided', 'country', 'type', 'racism', 'allowed', 'debate'];['matter', 'heritage', 'able', 'serve', 'country', 'thai', 'heritage', 'shouldnt', 'shouldnt', 'issue', 'debate', 'duckworth', 'family', 'service', 'provided', 'country', 'type', 'racism', 'allowed', 'debate'];['matter heritage', 'heritage able', 'able serve', 'serve country', 'country thai', 'thai heritage', 'heritage shouldnt', 'shouldnt shouldnt', 'shouldnt issue', 'issue debate', 'debate duckworth', 'duckworth family', 'family service', 'service provided', 'provided country', 'country type', 'type racism', 'racism allowed', 'allowed debate']
290;frightening learn shark attack surfer aware risk associated sport shark priority would best interest establish water sport shark epidemic dealt beach australia good precautionary method;fear;['frightening', 'learn', 'shark', 'attack', 'surfer', 'aware', 'risk', 'associated', 'sport', 'shark', 'priority', 'would', 'best', 'interest', 'establish', 'water', 'sport', 'shark', 'epidemic', 'dealt', 'beach', 'australia', 'good', 'precautionary', 'method'];['frightening', 'learn', 'shark', 'attack', 'surfer', 'aware', 'risk', 'associated', 'sport', 'shark', 'priority', 'would', 'best', 'interest', 'establish', 'water', 'sport', 'shark', 'epidemic', 'dealt', 'beach', 'australia', 'good', 'precautionary', 'method'];['frightening learn', 'learn shark', 'shark attack', 'attack surfer', 'surfer aware', 'aware risk', 'risk associated', 'associated sport', 'sport shark', 'shark priority', 'priority would', 'would best', 'best interest', 'interest establish', 'establish water', 'water sport', 'sport shark', 'shark epidemic', 'epidemic dealt', 'dealt beach', 'beach australia', 'australia good', 'good precautionary', 'precautionary method']
342;generation russian arent treated properly sort financial living little per day financially live poor condition paying barely enough food health care also taken turn worse cant afford get proper health treatment due cost involved;sadness;['generation', 'russian', 'arent', 'treated', 'properly', 'sort', 'financial', 'living', 'little', 'per', 'day', 'financially', 'live', 'poor', 'condition', 'paying', 'barely', 'enough', 'food', 'health', 'care', 'also', 'taken', 'turn', 'worse', 'cant', 'afford', 'get', 'proper', 'health', 'treatment', 'due', 'cost', 'involved'];['generation', 'russian', 'arent', 'treated', 'properly', 'sort', 'financial', 'living', 'little', 'per', 'day', 'financially', 'live', 'poor', 'condition', 'paying', 'barely', 'enough', 'food', 'health', 'care', 'also', 'taken', 'turn', 'worse', 'cant', 'afford', 'get', 'proper', 'health', 'treatment', 'due', 'cost', 'involved'];['generation russian', 'russian arent', 'arent treated', 'treated properly', 'properly sort', 'sort financial', 'financial living', 'living little', 'little per', 'per day', 'day financially', 'financially live', 'live poor', 'poor condition', 'condition paying', 'paying barely', 'barely enough', 'enough food', 'food health', 'health care', 'care also', 'also taken', 'taken turn', 'turn worse', 'worse cant', 'cant afford', 'afford get', 'get proper', 'proper health', 'health treatment', 'treatment due', 'due cost', 'cost involved']
2;middle east fucked ive honestly never heard middle east country people mention sound funny heck would want stay shit hole country infested terrorist child perhaps refugee choice honestly come better country u uk even though country policy regarding immigration think theyre quite tolerate people war torn country;anger;['middle', 'east', 'fucked', 'ive', 'honestly', 'never', 'heard', 'middle', 'east', 'country', 'people', 'mention', 'sound', 'funny', 'heck', 'would', 'want', 'stay', 'shit', 'hole', 'country', 'infested', 'terrorist', 'child', 'perhaps', 'refugee', 'choice', 'honestly', 'come', 'better', 'country', 'u', 'uk', 'even', 'though', 'country', 'policy', 'regarding', 'immigration', 'think', 'theyre', 'quite', 'tolerate', 'people', 'war', 'torn', 'country'];['middle', 'east', 'fucked', 'ive', 'honestly', 'never', 'heard', 'middle', 'east', 'country', 'people', 'mention', 'sound', 'funny', 'heck', 'would', 'want', 'stay', 'shit', 'hole', 'country', 'infested', 'terrorist', 'child', 'perhaps', 'refugee', 'choice', 'honestly', 'come', 'better', 'country', 'u', 'uk', 'even', 'though', 'country', 'policy', 'regarding', 'immigration', 'think', 'theyre', 'quite', 'tolerate', 'people', 'war', 'torn', 'country'];['middle east', 'east fucked', 'fucked ive', 'ive honestly', 'honestly never', 'never heard', 'heard middle', 'middle east', 'east country', 'country people', 'people mention', 'mention sound', 'sound funny', 'funny heck', 'heck would', 'would want', 'want stay', 'stay shit', 'shit hole', 'hole country', 'country infested', 'infested terrorist', 'terrorist child', 'child perhaps', 'perhaps refugee', 'refugee choice', 'choice honestly', 'honestly come', 'come better', 'better country', 'country u', 'u uk', 'uk even', 'even though', 'though country', 'country policy', 'policy regarding', 'regarding immigration', 'immigration think', 'think theyre', 'theyre quite', 'quite tolerate', 'tolerate people', 'people war', 'war torn', 'torn country']
117;well first whoever wrote article doesnt know properly divide article paragraph made reading article extremely painful know reading article zika virus tend stay vaginal fluid amount time obvious dont mate people zika virus dont even think baby theyre going defective;anger;['well', 'first', 'whoever', 'wrote', 'article', 'doesnt', 'know', 'properly', 'divide', 'article', 'paragraph', 'made', 'reading', 'article', 'extremely', 'painful', 'know', 'reading', 'article', 'zika', 'virus', 'tend', 'stay', 'vaginal', 'fluid', 'amount', 'time', 'obvious', 'dont', 'mate', 'people', 'zika', 'virus', 'dont', 'even', 'think', 'baby', 'theyre', 'going', 'defective'];['well', 'first', 'whoever', 'wrote', 'article', 'doesnt', 'know', 'properly', 'divide', 'article', 'paragraph', 'made', 'reading', 'article', 'extremely', 'painful', 'know', 'reading', 'article', 'zika', 'virus', 'tend', 'stay', 'vaginal', 'fluid', 'amount', 'time', 'obvious', 'dont', 'mate', 'people', 'zika', 'virus', 'dont', 'even', 'think', 'baby', 'theyre', 'going', 'defective'];['well first', 'first whoever', 'whoever wrote', 'wrote article', 'article doesnt', 'doesnt know', 'know properly', 'properly divide', 'divide article', 'article paragraph', 'paragraph made', 'made reading', 'reading article', 'article extremely', 'extremely painful', 'painful know', 'know reading', 'reading article', 'article zika', 'zika virus', 'virus tend', 'tend stay', 'stay vaginal', 'vaginal fluid', 'fluid amount', 'amount time', 'time obvious', 'obvious dont', 'dont mate', 'mate people', 'people zika', 'zika virus', 'virus dont', 'dont even', 'even think', 'think baby', 'baby theyre', 'theyre going', 'going defective']
189;well well well look well arrogant kim kardashian finally got deserves robbed million thought bitter considering robbery think way rich kim belonging social medium guess brought upon;disgust;['well', 'well', 'well', 'look', 'well', 'arrogant', 'kim', 'kardashian', 'finally', 'got', 'deserves', 'robbed', 'million', 'thought', 'bitter', 'considering', 'robbery', 'think', 'way', 'rich', 'kim', 'belonging', 'social', 'medium', 'guess', 'brought', 'upon'];['well', 'well', 'well', 'look', 'well', 'arrogant', 'kim', 'kardashian', 'finally', 'got', 'deserves', 'robbed', 'million', 'thought', 'bitter', 'considering', 'robbery', 'think', 'way', 'rich', 'kim', 'belonging', 'social', 'medium', 'guess', 'brought', 'upon'];['well well', 'well well', 'well look', 'look well', 'well arrogant', 'arrogant kim', 'kim kardashian', 'kardashian finally', 'finally got', 'got deserves', 'deserves robbed', 'robbed million', 'million thought', 'thought bitter', 'bitter considering', 'considering robbery', 'robbery think', 'think way', 'way rich', 'rich kim', 'kim belonging', 'belonging social', 'social medium', 'medium guess', 'guess brought', 'brought upon']
330;another fucked mental sickness american police black resident honestly idea sensitive fucking gun shoot people people shot something police think twice taking people life legitimate reason guess good police body public see shame upon;anger;['another', 'fucked', 'mental', 'sickness', 'american', 'police', 'black', 'resident', 'honestly', 'idea', 'sensitive', 'fucking', 'gun', 'shoot', 'people', 'people', 'shot', 'something', 'police', 'think', 'twice', 'taking', 'people', 'life', 'legitimate', 'reason', 'guess', 'good', 'police', 'body', 'public', 'see', 'shame', 'upon'];['another', 'fucked', 'mental', 'sickness', 'american', 'police', 'black', 'resident', 'honestly', 'idea', 'sensitive', 'fucking', 'gun', 'shoot', 'people', 'people', 'shot', 'something', 'police', 'think', 'twice', 'taking', 'people', 'life', 'legitimate', 'reason', 'guess', 'good', 'police', 'body', 'public', 'see', 'shame', 'upon'];['another fucked', 'fucked mental', 'mental sickness', 'sickness american', 'american police', 'police black', 'black resident', 'resident honestly', 'honestly idea', 'idea sensitive', 'sensitive fucking', 'fucking gun', 'gun shoot', 'shoot people', 'people people', 'people shot', 'shot something', 'something police', 'police think', 'think twice', 'twice taking', 'taking people', 'people life', 'life legitimate', 'legitimate reason', 'reason guess', 'guess good', 'good police', 'police body', 'body public', 'public see', 'see shame', 'shame upon']
368;seems male college student finally taken courage pursue love rape potential lover disgusting act moral corruption amount emotional trauma done female victim permanent would never feel safe hope get sentence jail long enough thought;disgust;['seems', 'male', 'college', 'student', 'finally', 'taken', 'courage', 'pursue', 'love', 'rape', 'potential', 'lover', 'disgusting', 'act', 'moral', 'corruption', 'amount', 'emotional', 'trauma', 'done', 'female', 'victim', 'permanent', 'would', 'never', 'feel', 'safe', 'hope', 'get', 'sentence', 'jail', 'long', 'enough', 'thought'];['seems', 'male', 'college', 'student', 'finally', 'taken', 'courage', 'pursue', 'love', 'rape', 'potential', 'lover', 'disgusting', 'act', 'moral', 'corruption', 'amount', 'emotional', 'trauma', 'done', 'female', 'victim', 'permanent', 'would', 'never', 'feel', 'safe', 'hope', 'get', 'sentence', 'jail', 'long', 'enough', 'thought'];['seems male', 'male college', 'college student', 'student finally', 'finally taken', 'taken courage', 'courage pursue', 'pursue love', 'love rape', 'rape potential', 'potential lover', 'lover disgusting', 'disgusting act', 'act moral', 'moral corruption', 'corruption amount', 'amount emotional', 'emotional trauma', 'trauma done', 'done female', 'female victim', 'victim permanent', 'permanent would', 'would never', 'never feel', 'feel safe', 'safe hope', 'hope get', 'get sentence', 'sentence jail', 'jail long', 'long enough', 'enough thought']
